,index,Title,Genre,Link
0,0,Mempawah lindungi 6.000 pekerja rentan desa dalam program BPJAMSOSTEK,Humaniora,https://www.antaranews.com/berita/3662703/mempawah-lindungi-6000-pekerja-rentan-desa-dalam-program-bpjamsostek
1,1,Truk pengangkut air galon tabrak pembatas jalan busway di Jaktim,Metro,https://www.antaranews.com/berita/3662694/truk-pengangkut-air-galon-tabrak-pembatas-jalan-busway-di-jaktim
2,2,Joan Mir siap kembali hadapi MotoGP Inggris usai pulih dari cedera,Olahraga,https://www.antaranews.com/berita/3662634/joan-mir-siap-kembali-hadapi-motogp-inggris-usai-pulih-dari-cedera
3,3,"DKI kemarin, pertemuan gubernur se-ASEAN hingga inflasi Jakarta",Metro,https://www.antaranews.com/berita/3662538/dki-kemarin-pertemuan-gubernur-se-asean-hingga-inflasi-jakarta
4,4,Polres Majene tilang 118 kendaraan,Hukum,https://www.antaranews.com/berita/3662412/polres-majene-tilang-118-kendaraan
5,5,"Pasang tiang, KAI-Pemkab Jombang persempit jalan di lintasan sebidang",Ekonomi,https://www.antaranews.com/berita/3662385/pasang-tiang-kai-pemkab-jombang-persempit-jalan-di-lintasan-sebidang
6,6,Ahli minta DKI cepat sahkan Perda SJUT imbas kecelakaan akibat kabel,Metro,https://www.antaranews.com/berita/3662313/ahli-minta-dki-cepat-sahkan-perda-sjut-imbas-kecelakaan-akibat-kabel
7,7,Polres Cianjur catat 170 kecelakaan terjadi sepanjang tahun 2023,Hukum,https://www.antaranews.com/berita/3662064/polres-cianjur-catat-170-kecelakaan-terjadi-sepanjang-tahun-2023
8,8,"Rawan kecelakaan, Madiun akan tambah keamanan di perlintasan sebidang",Ekonomi,https://www.antaranews.com/video/3661710/rawan-kecelakaan-madiun-akan-tambah-keamanan-di-perlintasan-sebidang
9,9,Menhub sebut perlu kolaborasi wujudkan angkutan barang lebih efisien,Ekonomi,https://www.antaranews.com/berita/3661758/menhub-sebut-perlu-kolaborasi-wujudkan-angkutan-barang-lebih-efisien
10,10,Insiden crane roboh tewaskan 16 orang di India,Dunia,https://www.antaranews.com/berita/3661356/insiden-crane-roboh-tewaskan-16-orang-di-india
11,11,Pemprov DKI panggil provider kabel optik penyebab kecelakaan di Jaksel,Metro,https://www.antaranews.com/berita/3660594/pemprov-dki-panggil-provider-kabel-optik-penyebab-kecelakaan-di-jaksel
12,12,Polisi Jombang belum tetapkan tersangka laka kereta dan mobil,Hukum,https://www.antaranews.com/berita/3660324/polisi-jombang-belum-tetapkan-tersangka-laka-kereta-dan-mobil
13,13,BPOLBF ingatkan wisatawan cari referensi resmi sebelum ke Labuan Bajo,Ekonomi,https://www.antaranews.com/berita/3660306/bpolbf-ingatkan-wisatawan-cari-referensi-resmi-sebelum-ke-labuan-bajo
14,14,"Daop 7: Hingga Juli 2023, 38 insiden terjadi di pelintasan sebidang",Humaniora,https://www.antaranews.com/berita/3660282/daop-7-hingga-juli-2023-38-insiden-terjadi-di-pelintasan-sebidang
15,15,DPR desak pemerintah maksimalkan bantuan pada insiden tambang Banyumas,Humaniora,https://www.antaranews.com/berita/3660267/dpr-desak-pemerintah-maksimalkan-bantuan-pada-insiden-tambang-banyumas
16,16,Satlantas Polres Madiun Kota sosialisasikan keselamatan berlalu lintas,Politik,https://www.antaranews.com/berita/3660255/satlantas-polres-madiun-kota-sosialisasikan-keselamatan-berlalu-lintas
17,17,Polisi jerat WN Irlandia pasal berlapis kasus tabrak warga di Kuta,Hukum,https://www.antaranews.com/berita/3659814/polisi-jerat-wn-irlandia-pasal-berlapis-kasus-tabrak-warga-di-kuta
18,18,"'Drone' diterbangkan menjelang pemilu Malaysia, empat orang ditahan",Dunia,https://www.antaranews.com/berita/3659184/drone-diterbangkan-menjelang-pemilu-malaysia-empat-orang-ditahan
19,19,DKI Jakarta diprakirakan cerah dan berawan pada Senin,Metro,https://www.antaranews.com/berita/3659085/dki-jakarta-diprakirakan-cerah-dan-berawan-pada-senin
20,20,Guru Besar FT UI telaah antisipasi kecelakaan teknologi industri,Metro,https://www.antaranews.com/berita/3658968/guru-besar-ft-ui-telaah-antisipasi-kecelakaan-teknologi-industri
21,21,Legislator sarankan korban kabel optik di Jaksel lapor polisi,Metro,https://www.antaranews.com/berita/3658941/legislator-sarankan-korban-kabel-optik-di-jaksel-lapor-polisi
22,22,Jasa Raharja serahkan santunan korban laka kereta dan mobil,Humaniora,https://www.antaranews.com/berita/3658890/jasa-raharja-serahkan-santunan-korban-laka-kereta-dan-mobil
23,23,Kalteng minta Pusat perbaiki jalan nasional di Pangkalan Banteng,Humaniora,https://www.antaranews.com/berita/3658800/kalteng-minta-pusat-perbaiki-jalan-nasional-di-pangkalan-banteng
24,24,Langkah awal Mukomuko wujudkan pelabuhan CPO,Ekonomi,https://www.antaranews.com/berita/3658677/langkah-awal-mukomuko-wujudkan-pelabuhan-cpo
25,25,Warga temukan senpi organik milik Polres Pegunungan Bintang,Hukum,https://www.antaranews.com/berita/3658578/warga-temukan-senpi-organik-milik-polres-pegunungan-bintang
26,26,Korban meninggal tertabrak kereta api di Jombang satu keluarga,Humaniora,https://www.antaranews.com/berita/3658572/korban-meninggal-tertabrak-kereta-api-di-jombang-satu-keluarga
27,27,PT KAI Daop 7 Madiun sebut 127 perlintasan tidak terjaga,Humaniora,https://www.antaranews.com/berita/3658368/pt-kai-daop-7-madiun-sebut-127-perlintasan-tidak-terjaga
28,28,Kecelakaan kereta dengan mobil di Jombang enam meninggal,Hukum,https://www.antaranews.com/berita/3658332/kecelakaan-kereta-dengan-mobil-di-jombang-enam-meninggal
29,29,"Ada pesan bangkitkan semangat kaum perempuan di balik film ""Susuk""",Hiburan,https://www.antaranews.com/berita/3657792/ada-pesan-bangkitkan-semangat-kaum-perempuan-di-balik-film-susuk
30,30,Meningkatkan keselamatan di perlintasan sebidang,Humaniora,https://www.antaranews.com/infografik/3655887/meningkatkan-keselamatan-di-perlintasan-sebidang
31,31,"Enam orang tewas dalam kecelakaan helikopter di Republik Altai, Rusia",Dunia,https://www.antaranews.com/video/3657177/enam-orang-tewas-dalam-kecelakaan-helikopter-di-republik-altai-rusia
32,32,21 orang tewas akibat insiden kapal terbalik di danau Filipina,Dunia,https://www.antaranews.com/video/3657204/21-orang-tewas-akibat-insiden-kapal-terbalik-di-danau-filipina
33,33,"Perdana main film horor, Hana Malasan dalami karakter pengguna susuk",Hiburan,https://www.antaranews.com/berita/3656988/perdana-main-film-horor-hana-malasan-dalami-karakter-pengguna-susuk
34,34,Korban tewas kecelakaan kapal di Filipina bertambah jadi 26 orang,Dunia,https://www.antaranews.com/berita/3656697/korban-tewas-kecelakaan-kapal-di-filipina-bertambah-jadi-26-orang
35,35,"""Susuk: Kutukan Kecantikan"" tebar teror nyata di balik kecantikan",Hiburan,https://www.antaranews.com/berita/3656691/susuk-kutukan-kecantikan-tebar-teror-nyata-di-balik-kecantikan
36,36,Kelebihan muatan penyebab kapal di Buteng tenggelam 15 meninggal,Hukum,https://www.antaranews.com/berita/3656604/kelebihan-muatan-penyebab-kapal-di-buteng-tenggelam-15-meninggal
37,37,Polisi usut dugaan kelalaian kasus kematian binaragawan Justyn Vicky,Hukum,https://www.antaranews.com/berita/3656421/polisi-usut-dugaan-kelalaian-kasus-kematian-binaragawan-justyn-vicky
38,38,Indonesia-Jepang kerja sama percepatan penempatan pemagangan teknis,Humaniora,https://www.antaranews.com/berita/3656340/indonesia-jepang-kerja-sama-percepatan-penempatan-pemagangan-teknis
39,39,Heru minta jajarannya rapikan kabel optik yang semrawut,Metro,https://www.antaranews.com/berita/3656325/heru-minta-jajarannya-rapikan-kabel-optik-yang-semrawut
40,40,Tren balon udara tradisional pengganggu penerbangan turun,Ekonomi,https://www.antaranews.com/berita/3656277/tren-balon-udara-tradisional-pengganggu-penerbangan-turun
41,41,BPJAMSOSTEK Denpasar berkomitmen beri perlindungan atlet Bali,Humaniora,https://www.antaranews.com/berita/3656256/bpjamsostek-denpasar-berkomitmen-beri-perlindungan-atletbali
42,42,Kemnaker terus dorong pekerja informal jadi peserta Jamsostek,Humaniora,https://www.antaranews.com/berita/3655653/kemnaker-terus-dorong-pekerja-informal-jadi-peserta-jamsostek
43,43,PGN Saka semakin pacu portofolio eksplorasi migas,Ekonomi,https://www.antaranews.com/berita/3655440/pgn-saka-semakin-pacu-portofolio-eksplorasi-migas
44,44,Polisi tangkap WNA Irlandia yang diduga tabrak warga di Kuta hingga tewas,Hukum,https://www.antaranews.com/berita/3654891/polisi-tangkap-wna-irlandia-yang-diduga-tabrak-warga-di-kuta-hingga-tewas
45,45,KAI Daop 8 tutup tiga perlintasan sebidang di Kota Malang,Ekonomi,https://www.antaranews.com/berita/3654582/kai-daop-8-tutup-tiga-perlintasan-sebidang-di-kota-malang
46,46,KAI sudah tutup 36 perlintasan liar di wilayah Daop Semarang,Ekonomi,https://www.antaranews.com/berita/3653775/kai-sudah-tutup-36-perlintasan-liar-di-wilayah-daop-semarang
47,47,Pengendara sepeda motor tewas usai terlindas truk di Jakbar,Metro,https://www.antaranews.com/berita/3653526/pengendara-sepeda-motor-tewas-usai-terlindas-truk-di-jakbar
48,48,Polisi selidiki penyebab kecelakaan beruntun di Cianjur,Hukum,https://www.antaranews.com/berita/3653511/polisi-selidiki-penyebab-kecelakaan-beruntun-di-cianjur
49,49,Kemenhub ungkap upaya tangani perlintasan sebidang,Ekonomi,https://www.antaranews.com/berita/3653247/kemenhub-ungkap-upaya-tangani-perlintasan-sebidang
50,50,Polres Situbondo tangani kecelakaan beruntun dua korban meninggal,Hukum,https://www.antaranews.com/berita/3652923/polres-situbondo-tangani-kecelakaan-beruntun-dua-korban-meninggal
51,51,Kecelakaan pesawat pemadam kebakaran di Yunani,Dunia,https://www.antaranews.com/foto/3652443/kecelakaan-pesawat-pemadam-kebakaran-di-yunani
52,52,Caroline hadirkan layanan pre-order untuk pembelian mobil bekas,Otomotif,https://otomotif.antaranews.com/berita/3652413/caroline-hadirkan-layanan-pre-order-untuk-pembelian-mobil-bekas
53,53,Korban kapal tenggelam di Buteng tidak dapat santunan Jasa Raharja,Humaniora,https://www.antaranews.com/video/3652113/korban-kapal-tenggelam-di-buteng-tidak-dapat-santunan-jasa-raharja
54,54,Polisi sebut tiga ABK KM Bina Sejati kritis akibat ledakan pompa,Hukum,https://www.antaranews.com/berita/3651966/polisi-sebut-tiga-abk-km-bina-sejati-kritis-akibat-ledakan-pompa
55,55,Bamsoet: Diperlukan aturan di level perundangan terkait distribusi CSR,Politik,https://www.antaranews.com/berita/3651924/bamsoet-diperlukan-aturan-di-level-perundangan-terkait-distribusi-csr
56,56,BPJAMSOSTEK Banda Aceh beri beasiswa Rp341 juta,Humaniora,https://www.antaranews.com/berita/3651786/bpjamsostek-banda-aceh-beri-beasiswa-rp341-juta
57,57,Uniga gandeng BPJAMSOSTEK berikan perlindungan mahasiswa KKN,Humaniora,https://www.antaranews.com/berita/3651714/uniga-gandeng-bpjamsostek-berikan-perlindungan-mahasiswa-kkn
58,58,Operasi Patuh Jaya 2023 tilang 18.536 pelanggar lalu lintas,Metro,https://www.antaranews.com/berita/3651684/operasi-patuh-jaya-2023-tilang-18536-pelanggar-lalu-lintas
59,59,Wanita perampas mobil patroli Tol Becakayu positif gunakan narkoba,Metro,https://www.antaranews.com/berita/3651342/wanita-perampas-mobil-patroli-tol-becakayu-positif-gunakan-narkoba
60,60,Ini pengakuan nakhoda kapal tenggelam di Buton Tengah kepada polisi,Hukum,https://www.antaranews.com/video/3651204/ini-pengakuan-nakhoda-kapal-tenggelam-di-buton-tengah-kepada-polisi
61,61,Bamsoet minta Kemenhub beri perhatian pada standar keselamatan kapal,Ekonomi,https://www.antaranews.com/berita/3651189/bamsoet-minta-kemenhub-beri-perhatian-pada-standar-keselamatan-kapal
62,62,Korban selamat Muhammad Arif  berenang 100 meter untuk selamatkan diri,Humaniora,https://www.antaranews.com/berita/3651183/korban-selamat-muhammad-arif-berenang-100-meter-untuk-selamatkan-diri
63,63,Basarnas Kendari turunkan tim cari kapal tenggelam di Buton,Humaniora,https://www.antaranews.com/berita/3651114/basarnas-kendari-turunkan-tim-cari-kapal-tenggelam-di-buton
64,64,Seluruh penumpang kapal tenggelam di Buton Tengah berhasil ditemukan,Humaniora,https://www.antaranews.com/video/3650928/seluruh-penumpang-kapal-tenggelam-di-buton-tengah-berhasil-ditemukan
65,65,Polisi periksa nakhoda kapal penyeberangan yang tenggelam di Buteng,Hukum,https://www.antaranews.com/berita/3650847/polisi-periksa-nakhoda-kapal-penyeberangan-yang-tenggelam-di-buteng
66,66,"Kemarin, kapal tenggelam hingga kasus obesitas",Humaniora,https://www.antaranews.com/berita/3650670/kemarin-kapal-tenggelam-hingga-kasus-obesitas
67,67,Menteri Selandia Baru mengundurkan diri karena berkendara saat mabuk,Dunia,https://www.antaranews.com/berita/3650547/menteri-selandia-baru-mengundurkan-diri-karena-berkendara-saat-mabuk
68,68,"KA Banyubiru ""tertemper"" mobil di perlintasan tanpa penjaga",Hukum,https://www.antaranews.com/berita/3650538/ka-banyubiru-tertemper-mobil-di-perlintasan-tanpa-penjaga
69,69,Sandiaga: Perlu tindakan tegas terkait insiden KLM Wisata Teman Baik,Ekonomi,https://www.antaranews.com/berita/3650472/sandiaga-perlu-tindakan-tegas-terkait-insiden-klm-wisata-teman-baik
70,70,PBFI Bali rancang pelatihan pengawas kebugaran ,Olahraga,https://www.antaranews.com/berita/3650025/pbfi-bali-rancang-pelatihan-pengawas-kebugaran
71,71,Polisi selidiki kasus perampasan mobil patroli jalan Tol Becakayu,Metro,https://www.antaranews.com/berita/3649875/polisi-selidiki-kasus-perampasan-mobil-patroli-jalan-tol-becakayu
72,72,Polisi Denpasar usut kecelakaan tewasnya binaragawan Justyn Vicky,Hukum,https://www.antaranews.com/berita/3649758/polisi-denpasar-usut-kecelakaan-tewasnya-binaragawan-justyn-vicky
73,73,Puluhan surat tilang diberikan pada Ops Krakatau di Lampung Timur,Hukum,https://www.antaranews.com/berita/3649698/puluhan-surat-tilang-diberikan-pada-ops-krakatau-di-lampung-timur
74,74,15 orang tewas dan 33 selamat dalam kecelakaan kapal di Buton Tengah,Humaniora,https://www.antaranews.com/berita/3649518/15-orang-tewas-dan-33-selamat-dalam-kecelakaan-kapal-di-buton-tengah
75,75,Panglima: Anggota TNI penabrak pesepeda sudah diproses hukum,Hukum,https://www.antaranews.com/berita/3649506/panglima-anggota-tni-penabrak-pesepeda-sudah-diproses-hukum
76,76,Kapal tenggelam di Buton Tengah tidak terjamin Jasa Raharja,Humaniora,https://www.antaranews.com/berita/3649299/kapal-tenggelam-di-buton-tengah-tidak-terjamin-jasa-raharja
77,77,"Kapal tenggelam di Buton Tengah, 15 orang meninggal & 19 orang hilang",Humaniora,https://www.antaranews.com/video/3649224/kapal-tenggelam-di-buton-tengah-15-orang-meninggal-19-orang-hilang
78,78,Syahbandar NTT diminta larang kapal-kapal berlayar saat cuaca buruk,Warta Bumi,https://www.antaranews.com/berita/3649236/syahbandar-ntt-diminta-larang-kapal-kapal-berlayar-saat-cuaca-buruk
79,79,Sebanyak 10 orang tewas karena atap GOR sekolah runtuh di China,Dunia,https://www.antaranews.com/berita/3649221/sebanyak-10-orang-tewas-karena-atap-gor-sekolah-runtuh-di-china
80,80,Sejumlah perjalanan kereta api terganggu imbas KA Gajayana tertemper,Humaniora,https://www.antaranews.com/berita/3649158/sejumlah-perjalanan-kereta-api-terganggu-imbas-ka-gajayana-tertemper
81,81,"Kapal penyeberangan di Buton Tengah tenggelam, 15 orang meninggal",Humaniora,https://www.antaranews.com/berita/3649143/kapal-penyeberangan-di-buton-tengah-tenggelam-15-orang-meninggal
82,82,Ternak kerbau jadi harapan ekonomi petani Lebak,Ekonomi,https://www.antaranews.com/berita/3649122/ternak-kerbau-jadi-harapan-ekonomi-petani-lebak
83,83,KA Gajayana tertemper truk gandeng di antara Stasiun Baron-Kertosono,Humaniora,https://www.antaranews.com/berita/3649107/ka-gajayana-tertemper-truk-gandeng-di-antara-stasiun-baron-kertosono
84,84,Verstappen catatkan rekor kemenangan bagi Red Bull di GP Hungaria,Olahraga,https://www.antaranews.com/berita/3648861/verstappen-catatkan-rekor-kemenangan-bagi-red-bull-di-gp-hungaria
85,85,Mercedes-Benz recall G300 karena masalah poros penggerak,Otomotif,https://otomotif.antaranews.com/berita/3648345/mercedes-benz-recall-g300-karena-masalah-poros-penggerak
86,86,Tim SAR evakuasi WNA Australia yang terluka saat berlayar di Ende NTT,Humaniora,https://www.antaranews.com/berita/3648159/tim-sar-evakuasi-wna-australia-yang-terluka-saat-berlayar-di-ende-ntt
87,87,"Kemarin, ChatGPT rilis di Android hingga ide aktivitas akhir pekan",Lifestyle,https://www.antaranews.com/berita/3648093/kemarin-chatgpt-rilis-di-android-hingga-ide-aktivitas-akhir-pekan
88,88,Kejari KKT belum eksekusi uang negara di RPL PN ambon,Hukum,https://www.antaranews.com/berita/3647580/kejari-kkt-belum-eksekusi-uang-negara-di-rpl-pn-ambon
89,89,Kapal wisata tenggelam di kawasan Taman Nasional Komodo,Humaniora,https://www.antaranews.com/berita/3647538/kapal-wisata-tenggelam-di-kawasan-taman-nasional-komodo
90,90,Warga apresiasi penertiban knalpot bising di Kota Gorontalo,Hukum,https://www.antaranews.com/berita/3647433/warga-apresiasi-penertiban-knalpot-bising-di-kota-gorontalo
91,91,MTI: Perlu videotron agar orang patuh aturan di lintasan kereta,Otomotif,https://otomotif.antaranews.com/berita/3647301/mti-perlu-videotron-agar-orang-patuh-aturan-di-lintasan-kereta
