Title,Genre,Link
Angka Kecelakaan Lalu Lintas di NTB Naik 10 Persen Selama Operasi Patuh Rinjani,NUSANTARA,https://www.beritasatu.com/nusantara/1060171/angka-kecelakaan-lalu-lintas-di-ntb-naik-10-persen-selama-operasi-patuh-rinjani
"Sopir Mengantuk, Truk Bawa Galon Air Tabrak Pembatas Busway di Jalan DI Panjaitan",MEGAPOLITAN,https://www.beritasatu.com/megapolitan/1060132/sopir-mengantuk-truk-bawa-galon-air-tabrak-pembatas-busway-di-jalan-di-panjaitan
NHTSA Buka Penyelidikan Kontrol Kemudi Mobil Listrik Tesla yang Bermasalah,OTOTEKNO,https://www.beritasatu.com/ototekno/1060116/nhtsa-buka-penyelidikan-kontrol-kemudi-mobil-listrik-tesla-yang-bermasalah
Lady Nayoan dan Rendy Kjaernett Kecelakaan Pulang Mediasi Berdua,LIFESTYLE,https://www.beritasatu.com/lifestyle/1060074/lady-nayoan-dan-rendy-kjaernett-kecelakaan-pulang-mediasi-berdua
"Pencarian Dihentikan, 8 Penambang Emas di Banyumas Dinyatakan Hilang di Kedalaman 60 Meter",NUSANTARA,https://www.beritasatu.com/nusantara/1060044/pencarian-dihentikan-8-penambang-emas-di-banyumas-dinyatakan-hilang-di-kedalaman-60-meter
Kemenhub Tutup Pelintasan Sebidang di Stasiun Rangkasbitung,MEGAPOLITAN,https://www.beritasatu.com/megapolitan/1060025/kemenhub-tutup-pelintasan-sebidang-di-stasiun-rangkasbitung
Infografik Kronologi Kereta Tabrak Luxio di Jombang,MULTIMEDIA,https://www.beritasatu.com/multimedia/1060021/infografik-kronologi-kereta-tabrak-luxio-di-jombang
"Mobil Bawa Pelajar SMP Ringsek Ditabrak Kereta Api di Lampung, 4 Terluka",NUSANTARA,https://www.beritasatu.com/nusantara/1059983/mobil-bawa-pelajar-smp-ringsek-ditabrak-kereta-api-di-lampung-4-terluka
Video: Mobil Ditabrak Kereta Api di Jombang Menewaskan 6 Orang,MULTIMEDIA,https://www.beritasatu.com/multimedia/1059972/video-mobil-ditabrak-kereta-api-di-jombang-menewaskan-6-orang
"Terpopuler, Anak Pejabat Aniaya Pelajar hingga Tewas dan Video Mesum di Canggu",NUSANTARA,https://www.beritasatu.com/nusantara/1059947/terpopuler-anak-pejabat-aniaya-pelajar-hingga-tewas-dan-video-mesum-di-canggu
11 ABK KM Lintang Timur Samudera yang Karam di Selat Malaka Dipastikan Selamat,NUSANTARA,https://www.beritasatu.com/nusantara/1059941/11-abk-km-lintang-timur-samudera-yang-karam-di-selat-malaka-dipastikan-selamat
"Mobil Tabrak 6 Motor di Fatmawati Jaksel, 1 Orang Patah Tulang",MEGAPOLITAN,https://www.beritasatu.com/megapolitan/1059900/mobil-tabrak-6-motor-di-fatmawati-jaksel-1-orang-patah-tulang
Tim SAR Masih Lakukan Pencarian 11 ABK KM Lintang Timur Samudra,NUSANTARA,https://www.beritasatu.com/nusantara/1059890/tim-sar-masih-lakukan-pencarian-11-abk-km-lintang-timur-samudra
"Terjatuh Saat Olahraga, Chow Yun Fat Alami Patah Tulang Rusuk",LIFESTYLE,https://www.beritasatu.com/lifestyle/1059850/terjatuh-saat-olahraga-chow-yun-fat-alami-patah-tulang-rusuk
Meregang Nyawa di Pelintasan Sebidang,B-PLUS,https://www.beritasatu.com/bplus/1059844/meregang-nyawa-di-pelintasan-sebidang
"Truk Tersangkut di Jembatan Talang Air Berhasil Dievakuasi, Sopir Diperiksa Polisi",MEGAPOLITAN,https://www.beritasatu.com/megapolitan/1059836/truk-tersangkut-di-jembatan-talang-air-berhasil-dievakuasi-sopir-diperiksa-polisi
"Truk Kontainer Tersangkut di Jembatan Talang Air, Jalur Bogor ke Jakarta Macet Panjang",MEGAPOLITAN,https://www.beritasatu.com/megapolitan/1059827/truk-kontainer-tersangkut-di-jembatan-talang-air-jalur-bogor-ke-jakarta-macet-panjang
Video Truk di Lampung Tabrak Dua Mobil dan Belasan Sepeda Motor,MULTIMEDIA,https://www.beritasatu.com/multimedia/1059818/video-truk-di-lampung-tabrak-dua-mobil-dan-belasan-sepeda-motor
"Kapal Motor Muatan Kelapa Tujuan Malaysia Tenggelam, 11 ABK Hilang",NUSANTARA,https://www.beritasatu.com/nusantara/1059812/kapal-motor-muatan-kelapa-tujuan-malaysia-tenggelam-11-abk-hilang
Max Verstappen Tetap Juara GP Belgia meski Kena Penalti 5 Grid,SPORT,https://www.beritasatu.com/sport/1059757/max-verstappen-tetap-juara-gp-belgia-meski-kena-penalti-5-grid
Jasa Raharja Serahkan Santunan Korban Kecelakaan KA Dhoho di Jombang,NUSANTARA,https://www.beritasatu.com/nusantara/1059747/jasa-raharja-serahkan-santunan-korban-kecelakaan-ka-dhoho-di-jombang
"Isak Tangis Iringi Pemakaman Adelia, Korban Tewas Kecelakaan Kereta Api Dhoho di Jombang",NUSANTARA,https://www.beritasatu.com/nusantara/1059695/isak-tangis-iringi-pemakaman-adelia-korban-tewas-kecelakaan-kereta-api-dhoho-di-jombang
"Serangan Drone ke Moskwa Lukai 1 Orang, Bandara Sempat Ditutup",INTERNASIONAL,https://www.beritasatu.com/internasional/1059694/serangan-drone-ke-moskwa-lukai-1-orang-bandara-sempat-ditutup
Satu Keluarga Korban Tewas Kereta Api Dhono di Jombang Dimakamkan,NUSANTARA,https://www.beritasatu.com/nusantara/1059684/satu-keluarga-korban-tewas-kereta-api-dhono-di-jombang-dimakamkan
