Title,Genre,Link
"Lady Nayoan Tak Hadir di Sidang Cerai, Masih Dirawat usai Kecelakaan",lifestyle,https://lifestyle.sindonews.com/read/1166013/187/lady-nayoan-tak-hadir-di-sidang-cerai-masih-dirawat-usai-kecelakaan-1690952891
Tulang Iga Lady Nayoan Retak usai Kecelakaan dengan Rendy Kjaernett di Tol Jatibening,lifestyle,https://lifestyle.sindonews.com/read/1165951/187/tulang-iga-lady-nayoan-retak-usai-kecelakaan-dengan-rendy-kjaernett-di-tol-jatibening-1690949287
"Lady Nayoan dan Rendy Kjaernett Dijadwalkan Sidang Cerai Hari Ini usai Kecelakaan, Begini Kondisinya Sekarang",lifestyle,https://lifestyle.sindonews.com/read/1165797/187/lady-nayoan-dan-rendy-kjaernett-dijadwalkan-sidang-cerai-hari-ini-usai-kecelakaan-begini-kondisinya-sekarang-1690934923
Rendy Kjaernett Berdarah-darah usai Kecelakaan Mobil Bareng Lady Nayoan di Tol Jatibening,lifestyle,https://lifestyle.sindonews.com/read/1165623/187/rendy-kjaernett-berdarah-darah-usai-kecelakaan-mobil-bareng-lady-nayoan-di-tol-jatibening-1690895294
Kronologi Kecelakaan Mobil Lady Nayoan dan Rendy Kjaernett di Tol Jatibening,lifestyle,https://lifestyle.sindonews.com/read/1165547/187/kronologi-kecelakaan-mobil-lady-nayoan-dan-rendy-kjaernett-di-tol-jatibening-1690891738
"Lady Nayoan Kecelakaan di Tol Jati Bening, Begini Kondisinya Sekarang",lifestyle,https://lifestyle.sindonews.com/read/1165415/187/lady-nayoan-kecelakaan-di-tol-jati-bening-begini-kondisinya-sekarang-1690880911
"Lady Nayoan Dikabarkan Kecelakaan, Sahabat Khawatir Belum Bisa Kontak dan Minta Doa",lifestyle,https://lifestyle.sindonews.com/read/1165237/187/lady-nayoan-dikabarkan-kecelakaan-sahabat-khawatir-belum-bisa-kontak-dan-minta-doa-1690870128
"Xenia vs Innova Adu Banteng di Jambi, 2 Tewas dan 5 Luka-luka",daerah,https://daerah.sindonews.com/read/1165199/174/xenia-vs-innova-adu-banteng-di-jambi-2-tewas-dan-5-luka-luka-1690870132
Mobil Sedan Tabrak Marka Jalan dan Pak Ogah hingga Tewas di Ring Road Barat Sleman,Video,https://video.sindonews.com/play/82021/mobil-sedan-tabrak-marka-jalan-dan-pak-ogah-hingga-tewas-di-ring-road-barat-sleman
Ruben Onsu Tak Tahu Detail Kecelakaan Mobil yang Dialami Jordi di Tol Cipali,lifestyle,https://lifestyle.sindonews.com/read/1164475/187/ruben-onsu-tak-tahu-detail-kecelakaan-mobil-yang-dialami-jordi-di-tol-cipali-1690794467
"Kecelakaan di Tol Cipali, Jordi Onsu Merasa Mobilnya Ada yang Dorong",lifestyle,https://lifestyle.sindonews.com/read/1164217/187/kecelakaan-di-tol-cipali-jordi-onsu-merasa-mobilnya-ada-yang-dorong-1690772860
"Jordi Onsu Kecelakaan Mobil di Tol Cipali, Alami Pecah Ban hingga Tabrak Pembatas Jalan",lifestyle,https://lifestyle.sindonews.com/read/1164207/187/jordi-onsu-kecelakaan-mobil-di-tol-cipali-alami-pecah-ban-hingga-tabrak-pembatas-jalan-1690772846
"Mobil Tertabrak Kereta Api di Jombang Tewaskan 6 Orang, Ini Kata PT KAI",daerah,https://daerah.sindonews.com/read/1163601/704/mobil-tertabrak-kereta-api-di-jombang-tewaskan-6-orang-ini-kata-pt-kai-1690686461
WNA Asal Irlandia Tabrak Pemotor Hingga Tewas,Video,https://video.sindonews.com/play/81917/wna-asal-irlandia-tabrak-pemotor-hingga-tewas
"Kecelakaan KA Tabrak Mobil di Jombang, Ambulans Antar 5 Korban Tewas ke Rumah Duka",Video,https://video.sindonews.com/play/81915/kecelakaan-ka-tabrak-mobil-di-jombang-ambulans-antar-5-korban-tewas-ke-rumah-duka
"Minibus Terhantam Kereta Api Rapih Dhoho di Jombang, 6 Tewas dan 2 Luka-Luka",Video,https://video.sindonews.com/play/81933/minibus-terhantam-kereta-api-rapih-dhoho-di-jombang-6-tewas-dan-2-luka-luka
Ini Identitas 6 Korban Tewas Tertabrak Kereta Api di Jombang,daerah,https://daerah.sindonews.com/read/1163511/704/ini-identitas-6-korban-tewas-tertabrak-kereta-api-di-jombang-1690675657
Kronologi 6 Penumpang Mobil Tewas Tertabrak Kereta Api di Jombang,daerah,https://daerah.sindonews.com/read/1163493/704/kronologi-6-penumpang-mobil-tewas-tertabrak-kereta-api-di-jombang-1690675644
"Tragis! Mobil Tertabrak Kereta Api di Jombang, 6 Tewas dan 2 Luka-luka",daerah,https://daerah.sindonews.com/read/1163479/704/tragis-mobil-tertabrak-kereta-api-di-jombang-6-tewas-dan-2-luka-luka-1690672078
"Truk Terbalik Timpa Rumah Makan, 5 Orang Terkubur Bata Hebel",daerah,https://daerah.sindonews.com/read/1163177/701/truk-terbalik-timpa-rumah-makan-5-orang-terkubur-bata-hebel-1690621673
"2 Motor Adu Banteng di Wajo Sulsel, 2 Tewas",daerah,https://daerah.sindonews.com/read/1163053/604/2-motor-adu-banteng-di-wajo-sulsel-2-tewas-1690610846
"Kecelakaan Helikopter Hentikan Latihan Militer Australia-AS, Empat Orang Hilang",international,https://international.sindonews.com/read/1162945/40/kecelakaan-helikopter-hentikan-latihan-militer-australia-as-empat-orang-hilang-1690596476
"5 Kematian Tragis Pembalap Top Dunia, Salah Satunya Bikin Valentino Rossi Stres Berat",sports,https://sports.sindonews.com/read/1162687/49/5-kematian-tragis-pembalap-top-dunia-salah-satunya-bikin-valentino-rossi-stres-berat-1690553261
"2 Hari Pegang KTA Partai Perindo Berasuransi, Pengemudi Ojek Online Ini Kecelakaan dan Dapat Santunan",daerah,https://daerah.sindonews.com/read/1162539/701/2-hari-pegang-kta-partai-perindo-berasuransi-pengemudi-ojek-online-ini-kecelakaan-dan-dapat-santunan-1690538869
"Kecelakaan Teknologi Jadi Ancaman Lingkungan hingga Populasi, Guru Besar UI Telaah Cara Antisipasinya",edukasi,https://edukasi.sindonews.com/read/1162167/211/kecelakaan-teknologi-jadi-ancaman-lingkungan-hingga-populasi-guru-besar-ui-telaah-cara-antisipasinya-1690510051
"Ada Acara Penting Xi Jinping dan Jokowi di China, Mobil Tesla Dilarang Beredar",otomotif,https://otomotif.sindonews.com/read/1162071/120/ada-acara-penting-xi-jinping-dan-jokowi-di-china-mobil-tesla-dilarang-beredar-1690502821
"Helikopter Turis Tersangkut Kabel Listrik di Siberia, 4 Orang Tewas",international,https://international.sindonews.com/read/1161881/41/helikopter-turis-tersangkut-kabel-listrik-di-siberia-4-orang-tewas-1690463230
"Senggol Pemotor Wanita hingga Tewas, Pemuda Ini Pura-pura Pingsan saat Diamankan",metro,https://metro.sindonews.com/read/1161693/170/senggol-pemotor-wanita-hingga-tewas-pemuda-ini-pura-pura-pingsan-saat-diamankan-1690448879
"Tragis! Emak-Emak Tewas Tertabrak Truk di Bekasi, Kondisinya Mengenaskan",Video,https://video.sindonews.com/play/81799/tragis-emak-emak-tewas-tertabrak-truk-di-bekasi-kondisinya-mengenaskan
"Kecelakaan Pesawat Pemadam Kebakaran di Yunani, Kapten dan Co-Pilot Tewas!",Photo,https://photo.sindonews.com/view/47633/kecelakaan-pesawat-pemadam-kebakaran-di-yunani-kapten-dan-co-pilot-tewas
Polisi Tetapkan Sopir Truk Tersangka Tabrakan KA Brantas di Semarang,daerah,https://daerah.sindonews.com/read/1160729/707/polisi-tetapkan-sopir-truk-tersangka-tabrakan-ka-brantas-di-semarang-1690351661
"Brak! Tabrakan Beruntun di Jalan Pasuruan-Malang, 2 Tewas",daerah,https://daerah.sindonews.com/read/1160609/704/brak-tabrakan-beruntun-di-jalan-pasuruan-malang-2-tewas-1690344422
Capres AS Ron DeSantis Alami Kecelakaan Lalu Lintas,international,https://international.sindonews.com/read/1160361/42/capres-as-ron-desantis-alami-kecelakaan-lalu-lintas-1690304834
Wanita Cantik Pembajak Mobil Layanan Jalan Tol dan Menabrak 2 Minibus di Matraman Positif Narkoba,metro,https://metro.sindonews.com/read/1160313/170/wanita-cantik-pembajak-mobil-layanan-jalan-tol-dan-menabrak-2-minibus-di-matraman-positif-narkoba-1690297650
Nahkoda Kapal Maut yang Tewaskan 15 Penumpang di Buton Tengah Berpotensi jadi Tersangka,Video,https://video.sindonews.com/play/81703/nahkoda-kapal-maut-yang-tewaskan-15-penumpang-di-buton-tengah-berpotensi-jadi-tersangka
6 Kendaraan Terlibat Kecelakaan di Tol Jagorawi,metro,https://metro.sindonews.com/read/1160101/170/6-kendaraan-terlibat-kecelakaan-di-tol-jagorawi-1690283231
Tragis! ABK KM Cengkeh Tewas Tertimpa Crane di Pelabuhan Biringkassi Pangkep,daerah,https://daerah.sindonews.com/read/1159863/604/tragis-abk-km-cengkeh-tewas-tertimpa-crane-di-pelabuhan-biringkassi-pangkep-1690265253
"Imbas Kecelakaan Truk Tabrak Tiang Listrik, Penumpang KRL Tertahan di Stasiun Pondok Ranji",Photo,https://photo.sindonews.com/view/47587/imbas-kecelakaan-truk-tabrak-tiang-listrik-penumpang-krl-tertahan-di-stasiun-pondok-ranji
"Cegah Kecelakaan di Perlintasan Kereta Api, Ini Kata Pakar",otomotif,https://otomotif.sindonews.com/read/1159805/183/cegah-kecelakaan-di-perlintasan-kereta-api-ini-kata-pakar-1690261679
Truk Tabrak Tiang Listrik di Perlintasan KRL,Photo,https://photo.sindonews.com/view/47585/truk-tabrak-tiang-listrik-di-perlintasan-krl
"Angkot Adu Balap Hingga Tabrak Mobil dan Terbalik di Jalanan Lampung, Polisi: Sopir Mabuk",Video,https://video.sindonews.com/play/81649/angkot-adu-balap-hingga-tabrak-mobil-dan-terbalik-di-jalanan-lampung-polisi-sopir-mabuk
"Rem Blong, Truk Tangki Hantam 4 Kendaraan hingga 1 Pemotor Tewas",daerah,https://daerah.sindonews.com/read/1159237/707/rem-blong-truk-tangki-hantam-4-kendaraan-hingga-1-pemotor-tewas-1690193272
Anggota DPRD Ngawi Tewas Terseret Truk yang Langsung Kabur Melarikan Diri,daerah,https://daerah.sindonews.com/read/1159005/704/anggota-dprd-ngawi-tewas-terseret-truk-yang-langsung-kabur-melarikan-diri-1690175278
"Dihantam Truk dari Arah Berlawanan, Anggota DPRD Ngawi Tewas",Video,https://video.sindonews.com/play/81629/dihantam-truk-dari-arah-berlawanan-anggota-dprd-ngawi-tewas
"Gedung Sekolah Runtuh di China, 10 Orang Tewas",international,https://international.sindonews.com/read/1158875/40/gedung-sekolah-runtuh-di-china-10-orang-tewas-1690168058
