Title,Genre,Link
"Buntut Kecelakaan Kereta Api vs Mobil di Jombang, Perlintasan Sebidang Ditutup",nasional,https://nasional.tempo.co/read/1754911/buntut-kecelakaan-kereta-api-vs-mobil-di-jombang-perlintasan-sebidang-ditutup
Kecelakaan Mobil Seruduk Motor di Jaksel Diduga karena Pedal Gas Nyangkut,metro,https://metro.tempo.co/read/1754621/kecelakaan-mobil-seruduk-motor-di-jaksel-diduga-karena-pedal-gas-nyangkut
Cerita Warga: Lokasi Kecelakaan Sultan Terkena Kabel Optik Minim Penerangan,metro,https://metro.tempo.co/read/1754276/cerita-warga-lokasi-kecelakaan-sultan-terkena-kabel-optik-minim-penerangan
"Kecelakaan Akibat Kabel Optik, PSI Desak Pemprov DKI Turun Tangan Bantu Kasus Sultan",metro,https://metro.tempo.co/read/1754010/kecelakaan-akibat-kabel-optik-psi-desak-pemprov-dki-turun-tangan-bantu-kasus-sultan
Politikus PDIP Sarankan Korban Kecelakaan Kabel Optik Sultan Rifat Lapor ke Polisi ,metro,https://metro.tempo.co/read/1753956/politikus-pdip-sarankan-korban-kecelakaan-kabel-optik-sultan-rifat-lapor-ke-polisi
Pengendara Motor Kecelakaan gara-gara Tersangkut Kabel Menjuntai di Palmerah ,metro,https://metro.tempo.co/read/1753924/pengendara-motor-kecelakaan-gara-gara-tersangkut-kabel-menjuntai-di-palmerah
"2 Kali Kecelakaan Kereta Api di Bulan Ini, Terbaru Tewaskan 6 Orang",nasional,https://nasional.tempo.co/read/1753745/2-kali-kecelakaan-kereta-api-di-bulan-ini-terbaru-tewaskan-6-orang
6 Orang Meninggal dalam Kecelakaan Mobil Tertabrak Kereta Api di Jombang,nasional,https://nasional.tempo.co/read/1753717/6-orang-meninggal-dalam-kecelakaan-mobil-tertabrak-kereta-api-di-jombang
"Kabel Optik Semrawut Sebabkan Kecelakaan,  Heru Budi Minta Warga Laporkan Temuan ",metro,https://metro.tempo.co/read/1753497/kabel-optik-semrawut-sebabkan-kecelakaanheru-budi-minta-warga-laporkan-temuan
Filipina Selidiki Kecelakaan Kapal yang Tewaskan 26 Orang,dunia,https://dunia.tempo.co/read/1753293/filipina-selidiki-kecelakaan-kapal-yang-tewaskan-26-orang
"Kecelakaan Berulang di Perlintasan Sebidang Kereta Api, Ini 9 Langkah Kemenhub ",bisnis,https://bisnis.tempo.co/read/1752319/kecelakaan-berulang-di-perlintasan-sebidang-kereta-api-ini-9-langkah-kemenhub
"Pelanggaran di Jawa Tengah Naik 72 Persen, Angka Kecelakaan Turun",otomotif,https://otomotif.tempo.co/read/1750585/pelanggaran-di-jawa-tengah-naik-72-persen-angka-kecelakaan-turun
"Kecelakaan KA Brantas, MTI Soroti Rambu Jalan dan Opsi Jalan Alternatif untuk Supir Truk",bisnis,https://bisnis.tempo.co/read/1750550/kecelakaan-ka-brantas-mti-soroti-rambu-jalan-dan-opsi-jalan-alternatif-untuk-supir-truk
"Kecelakaan KA Brantas, Mengapa Kereta Tidak Bisa Berhenti Mendadak?",tekno,https://tekno.tempo.co/read/1750103/kecelakaan-ka-brantas-mengapa-kereta-tidak-bisa-berhenti-mendadak
"Kecelakaan Pesawat Kolombia, 5 Politikus Oposisi dan Pilot Tewas",dunia,https://dunia.tempo.co/read/1750080/kecelakaan-pesawat-kolombia-5-politikus-oposisi-dan-pilot-tewas
"Kecelakaan Tragis di Aljazair, Sedikitnya 34 Orang Tewas Terbakar",dunia,https://dunia.tempo.co/read/1749866/kecelakaan-tragis-di-aljazair-sedikitnya-34-orang-tewas-terbakar
BMKG Ajak Nelayan Manfaatkan Layanan Informasi INA-WIS untuk Tekan Kecelakaan Laut,tekno,https://tekno.tempo.co/read/1749827/bmkg-ajak-nelayan-manfaatkan-layanan-informasi-ina-wis-untuk-tekan-kecelakaan-laut
"Kecelakaan KA Brantas, Polda Jawa Tengah Kerahkan Tim Traffic Accident Analysis",nasional,https://nasional.tempo.co/read/1749789/kecelakaan-ka-brantas-polda-jawa-tengah-kerahkan-tim-traffic-accident-analysis
"Penyebab Kecelakaan Fortuner di Plumpang, 3 Penumpang Tewas di Lokasi ",metro,https://metro.tempo.co/read/1749754/penyebab-kecelakaan-fortuner-di-plumpang-3-penumpang-tewas-di-lokasi
"AS Buka Penyelidikan Khusus atas Kecelakaan Fatal Tesla, Diduga Akibat Autopilot",tekno,https://tekno.tempo.co/read/1749687/as-buka-penyelidikan-khusus-atas-kecelakaan-fatal-tesla-diduga-akibat-autopilot
"Kecelakaan SUV di Exit Tol Plumpang, 3 Tewas, 1 Luka RIngan",metro,https://metro.tempo.co/read/1749608/kecelakaan-suv-di-exit-tol-plumpang-3-tewas-1-luka-ringan
Sembilan Perjalanan Kereta Api Terdampak Kecelakaan KA Brantas-Truk Tronton di Semarang,nasional,https://nasional.tempo.co/read/1749581/sembilan-perjalanan-kereta-api-terdampak-kecelakaan-ka-brantas-truk-tronton-di-semarang
"Meminimalisir Kecelakaan, Berikut Tip Menjaga Jarak Berkendara Mobil yang Aman",otomotif,https://otomotif.tempo.co/read/1749534/meminimalisir-kecelakaan-berikut-tip-menjaga-jarak-berkendara-mobil-yang-aman
Tour de France 2023: Tim Jumbo-Visma Pertimbangkan Tuntut Penonton yang Sebabkan Kecelakaan,sport,https://sport.tempo.co/read/1749338/tour-de-france-2023-tim-jumbo-visma-pertimbangkan-tuntut-penonton-yang-sebabkan-kecelakaan
"KAI Kecam Perlintasan Liar di Rawa Indah Depok Kembali Dibuka Masyarakat, Sebulan Setelah Kecelakaan Kereta ",metro,https://metro.tempo.co/read/1749170/kai-kecam-perlintasan-liar-di-rawa-indah-depok-kembali-dibuka-masyarakat-sebulan-setelah-kecelakaan-kereta
"Mengenang Jules Bianchi, Pembalap F1 yang Meninggal Akibat Kecelakaan",otomotif,https://otomotif.tempo.co/read/1748789/mengenang-jules-bianchi-pembalap-f1-yang-meninggal-akibat-kecelakaan
Tim DVI Polda Papua Identifikasi 6 Jenazah Korban Kecelakaan Pesawat SAM Air,nasional,https://nasional.tempo.co/read/1747484/tim-dvi-polda-papua-identifikasi-6-jenazah-korban-kecelakaan-pesawat-sam-air
"Kecelakaan di Tol Tomang, Daihatsu Ayla Terguling karena Hilang Kendali",metro,https://metro.tempo.co/read/1747410/kecelakaan-di-tol-tomang-daihatsu-ayla-terguling-karena-hilang-kendali
